"Name","Location","Type","Address","Tags"
"WEB-SRV-01","shared","ip-netmask","10.46.5.10/32","web-tier"
"WEB-SRV-02","shared","ip-netmask","10.46.5.11/32","web-tier"
"API-GATEWAY-01","shared","ip-netmask","10.46.10.5/32","api"
"VPN-CONCENTRATOR-01","shared","ip-netmask","10.46.20.1/32","vpn"
"FILE-SRV-01","shared","ip-netmask","10.70.1.10/32","fileshare"
"APP-SRV-01","shared","ip-netmask","10.70.2.10/32","app-tier"
"APP-SRV-02","shared","ip-netmask","10.70.2.11/32","app-tier"
"BACKUP-SRV-01","shared","ip-netmask","10.70.3.10/32","backup"
"DB-SRV-01","shared","ip-netmask","10.70.4.10/32","database"
"DC-01","shared","ip-netmask","10.90.1.10/32","domain-controller"
"DC-02","shared","ip-netmask","10.90.1.11/32","domain-controller"
"DC-03","shared","ip-netmask","10.90.1.12/32","domain-controller"
"POS-TERM-01","shared","ip-netmask","10.157.1.0/24","pos-segment"
"POS-TERM-02","shared","ip-netmask","10.157.2.0/24","pos-segment"
"POS-TERM-03","shared","ip-netmask","10.157.3.0/24","pos-segment"
"POS-TERM-04","shared","ip-netmask","10.157.4.0/24","pos-segment"
"POS-TERM-05","shared","ip-netmask","10.157.5.0/24","pos-segment"
"POS-TERM-06","shared","ip-netmask","10.157.6.0/24","pos-segment"
"POS-TERM-07","shared","ip-netmask","10.157.7.0/24","pos-segment"
"POS-TERM-08","shared","ip-netmask","10.157.8.0/24","pos-segment"
"POS-CONTROLLER-01","shared","ip-netmask","10.157.99.10/32","pos-controller"
"IOT-GATEWAY-01","shared","ip-netmask","10.158.1.1/32","iot"
"IOT-SENSOR-HUB-01","shared","ip-netmask","10.158.2.1/32","iot"
"VOIP-PBX-01","shared","ip-netmask","10.63.1.10/32","voip-core"
"VOIP-GATEWAY-01","shared","ip-netmask","10.63.2.10/32","voip-core"
"MGMT-JUMPBOX-01","shared","ip-netmask","10.180.1.5/32","jumpbox"
"MGMT-SYSLOG-01","shared","ip-netmask","10.180.2.5/32","logging"
"MGMT-NMS-01","shared","ip-netmask","10.180.3.5/32","monitoring"
"WORKSTATIONS-FLOOR1","shared","ip-netmask","10.10.10.0/24","workstations"
"WORKSTATIONS-FLOOR2","shared","ip-netmask","10.10.11.0/24","workstations"
"PARTNER-VENDOR-A","shared","ip-netmask","185.44.12.20/32","partner"
"PARTNER-VENDOR-B","shared","ip-netmask","91.203.7.14/32","partner"
"THIRD-PARTY-PAYMENT-GW","shared","ip-netmask","203.0.113.55/32","payment-processor"
"CLOUD-BACKUP-PROVIDER","shared","fqdn","backup.cloudvendor.example.com","cloud"
"VPN-CLIENT-RANGE","shared","ip-range","203.0.113.100-203.0.113.150","remote-users"
