"Direction","Rule","Source","Destination","Application","Service","Action","Profile"
"Inbound","Allow-DMZ-Subnet-Broad","outside / any","dmz / 10.45.0.0/16","any","any","allow","none"
"Inbound","Allow-RDP-From-Internet","outside / any","dmz / 10.40.10.5/32","ms-rdp","application-default","allow","none"
"Inbound","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none"
"Inbound","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none"
"Inbound","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none"
"Inbound","Allow-AnyDesk-Remote-Support","outside / any","inside / 10.10.5.0/24","anydesk","application-default","allow","none"
"Inbound","Allow-TeamViewer-Vendor-Access","outside / any","inside / 10.10.5.0/24","teamviewer","application-default","allow","none"
"Inbound","Allow-Wide-Open-DMZ-Inbound","outside / any","dmz / any","any","any","allow","none"
"Outbound","Allow-Duplicate-Web-Rule-A","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict"
"Outbound","Allow-Duplicate-Web-Rule-B","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict"
"Outbound","Allow-DoT-Explicit-Port","inside / 10.10.5.0/24","outside / any","any","tcp-853","allow","none"
"Outbound","Allow-DoH-Explicit-App","inside / 10.10.5.0/24","outside / 8.8.8.8/32","dns-over-https","application-default","allow","none"
"Outbound","Allow-Plain-DNS-Google-Cloudflare","inside / 10.10.5.0/24","outside / 8.8.8.8;1.1.1.1","dns","udp-53","allow","none"
"Outbound","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none"
"Both sides internet-facing","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none"
"Outbound","Allow-Negated-RFC1918-Full","dmz / [Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255","outside / any","web-browsing","application-default","allow","strict"
"Inbound","Allow-Temp-Vendor-POC","outside / any","inside / any","any","any","allow","none"
"Outbound","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none"
"Outbound","Allow-Corp-To-Salesforce","inside / 10.10.5.0/24","outside / 203.0.113.40/32","ssl","application-default","allow","strict"
