"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target"
"1","IOT_TO_INSIDE_19","Shared","iot-segment","universal","iot","any","any","any","inside","10.10.50.0/24","any","any","any","Allow","none","","any"
"2","STD_MGMT_TO_OUTSIDE_247","Shared","standard","universal","mgmt","10.180.4.0/24","any","any","outside","198.44.22.128/32","any","smtp","application-default","Allow","none","","any"
"3","STD_DMZ_TO_MGMT_1121","Shared","standard","universal","dmz","10.46.250.0/24","any","any","mgmt","10.180.1.0/24","any","ssl","application-default","Allow","none","","any"
"4","STD_DMZ_TO_DMZ2_740","Shared","app-team","universal","dmz","10.46.76.0/24","any","any","dmz2","10.176.83.0/24","any","dns","application-default","Allow","strict","","any"
"5","STD_OUTSIDE_TO_MGMT_606","Shared","standard","universal","outside","any","any","any","mgmt","10.180.246.0/24","any","ping","application-default","Allow","none","","any"
"6","ALLOW_OUTSIDE_TO_POS_RISKY_26","Shared","remote-access","universal","outside","any","any","any","pos","10.157.220.0/24","any","vnc","application-default","Allow","none","","any"
"7","STD_VOIP_TO_DMZ_2187","Shared","app-team","universal","voip","10.63.20.0/24","any","any","dmz","10.46.28.0/24","any","kerberos","application-default","Allow","none","","any"
"8","STD_OUTSIDE_TO_MGMT_1154","Shared","standard","universal","outside","any","any","any","mgmt","10.180.143.0/24","any","ldap","application-default","Allow","none","","any"
"9","STD_VOIP_TO_DMZ2_1274","Shared","standard","universal","voip","10.63.237.0/24","any","any","dmz2","10.176.156.0/24","any","voip-generic","application-default","Allow","strict","","any"
"10","ALLOW_OUTSIDE_TO_DMZ_RISKY_8","Shared","remote-access","universal","outside","any","any","any","dmz","10.46.135.0/24","any","anydesk","application-default","Allow","none","","any"
"11","STD_DMZ2_TO_MGMT_894","Shared","app-team","universal","dmz2","10.176.41.0/24","any","any","mgmt","10.180.171.0/24","any","kerberos","application-default","Allow","strict","","any"
"12","STD_POS_TO_MGMT_3075","Shared","app-team","universal","pos","10.157.182.0/24","any","any","mgmt","10.180.200.0/24","any","ntp","application-default","Allow","strict","","any"
"13","STD_VOIP_TO_MGMT_2390","Shared","app-team","universal","voip","10.63.59.0/24","any","any","mgmt","10.180.120.0/24","any","smtp","application-default","Allow","none","","any"
"14","STD_INSIDE_TO_POS_1129","Shared","none","universal","inside","10.10.92.0/24","any","any","pos","10.157.9.0/24","any","snmp-base","application-default","Allow","strict","","any"
"15","STD_INSIDE_TO_DMZ_660","Shared","app-team","universal","inside","10.10.249.0/24","any","any","dmz","10.46.119.0/24","any","ping","application-default","Allow","none","","any"
"16","STD_OUTSIDE_TO_MGMT_1934","Shared","standard","universal","outside","any","any","any","mgmt","10.180.199.0/24","any","kerberos","application-default","Allow","none","","any"
"17","STD_OUTSIDE_TO_IOT_1367","Shared","app-team","universal","outside","any","any","any","iot","10.158.229.0/24","any","dns","application-default","Allow","none","","any"
