"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target"
"1","STD_MGMT_TO_INSIDE_1033","Shared","none","universal","mgmt","APP-SRV-02","any","any","inside","MGMT-JUMPBOX-01","any","voip-generic","application-default","Allow","strict","","any"
"2","STD_AD_TO_OUTSIDE_3512","Shared","standard","universal","ad","IOT-GATEWAY-01","any","any","outside","9.9.9.9/32","any","ssl","application-default","Allow","strict","","any"
"3","STD_IOT_TO_DMZ_3967","Shared","app-team","universal","iot","VOIP-PBX-01","any","any","dmz","FILE-SRV-01","any","smtp","application-default","Allow","strict","","any"
"4","STD_INSIDE_TO_IOT_1820","Shared","app-team","universal","inside","DC-01","any","any","iot","WEB-SRV-01","any","sip","application-default","Allow","strict","","any"
"5","OPEN_OUTSIDE_TO_APP-SERVERS-G_63","Shared","none","universal","outside","any","any","any","server","APP-SERVERS-G","any","ms-ds-smb","application-default","Allow","none","","any"
"6","STD_OUTSIDE_TO_SERVER_598","Shared","app-team","universal","outside","any","any","any","server","DC-01","any","sip","application-default","Allow","strict","","any"
"7","STD_SERVER_TO_OUTSIDE_3235","Shared","none","universal","server","WORKSTATIONS-FLOOR1","any","any","outside","1.1.1.1/32","any","web-browsing","application-default","Allow","strict","","any"
"8","STD_OUTSIDE_TO_IOT_2456","Shared","none","universal","outside","any","any","any","iot","APP-SRV-01","any","ping","application-default","Allow","strict","","any"
"9","SCOPED_INTERNAL_MGMT_TO_VOIP_0","Shared","standard","universal","mgmt","WORKSTATIONS-FLOOR1","any","any","voip","DB-SRV-01","any","mqtt","application-default","Allow","strict","","any"
"10","STD_AD_TO_MGMT_3427","Shared","none","universal","ad","WORKSTATIONS-FLOOR2","any","any","mgmt","MGMT-JUMPBOX-01","any","sip","application-default","Allow","strict","","any"
"11","OPEN_OUTSIDE_TO_APP-SERVERS-G_146","Shared","none","universal","outside","any","any","any","server","APP-SERVERS-G","any","ssh","application-default","Allow","none","","any"
"12","STD_OUTSIDE_TO_IOT_1454","Shared","none","universal","outside","any","any","any","iot","WORKSTATIONS-FLOOR1","any","ping","application-default","Allow","strict","","any"
"13","STD_POS_TO_OUTSIDE_499","Shared","none","universal","pos","VOIP-PBX-01","any","any","outside","1.1.1.1/32","any","smtp","application-default","Allow","none","","any"
"14","SCOPED_INTERNAL_INSIDE_TO_IOT_93","Shared","standard","universal","inside","WORKSTATIONS-FLOOR1","any","any","iot","FILE-SRV-01","any","smtp","application-default","Allow","strict","","any"
"15","STD_MGMT_TO_INSIDE_429","Shared","standard","universal","mgmt","WEB-SRV-01","any","any","inside","APP-SRV-01","any","smtp","application-default","Allow","strict","","any"
"16","STD_VOIP_TO_IOT_1206","Shared","app-team","universal","voip","DC-01","any","any","iot","APP-SRV-01","any","web-browsing","application-default","Allow","strict","","any"
"17","STD_VOIP_TO_SERVER_712","Shared","standard","universal","voip","IOT-GATEWAY-01","any","any","server","IOT-GATEWAY-01","any","mqtt","application-default","Allow","strict","","any"
"18","STD_IOT_TO_MGMT_1963","Shared","app-team","universal","iot","API-GATEWAY-01","any","any","mgmt","DC-01","any","ntp","application-default","Allow","strict","","any"
"19","STD_DMZ_TO_IOT_3534","Shared","standard","universal","dmz","DB-SRV-01","any","any","iot","APP-SRV-01","any","ping","application-default","Allow","none","","any"
"20","STD_INSIDE_TO_IOT_402","Shared","app-team","universal","inside","APP-SRV-02","any","any","iot","API-GATEWAY-01","any","web-browsing","application-default","Allow","strict","","any"
"21","STD_POS_TO_DMZ_3912","Shared","app-team","universal","pos","MGMT-JUMPBOX-01","any","any","dmz","FILE-SRV-01","any","sip","application-default","Allow","strict","","any"
"22","STD_POS_TO_DMZ_2972","Shared","standard","universal","pos","WORKSTATIONS-FLOOR1","any","any","dmz","WEB-SRV-02","any","voip-generic","application-default","Allow","strict","","any"
"23","STD_VOIP_TO_SERVER_703","Shared","none","universal","voip","WORKSTATIONS-FLOOR2","any","any","server","DC-01","any","web-browsing","application-default","Allow","none","","any"
"24","STD_IOT_TO_MGMT_3800","Shared","none","universal","iot","VOIP-PBX-01","any","any","mgmt","IOT-GATEWAY-01","any","snmp-base","application-default","Allow","none","","any"
"25","STD_IOT_TO_AD_172","Shared","app-team","universal","iot","WEB-SRV-01","any","any","ad","IOT-GATEWAY-01","any","web-browsing","application-default","Allow","strict","","any"
"26","STD_VOIP_TO_OUTSIDE_2741","Shared","standard","universal","voip","API-GATEWAY-01","any","any","outside","8.8.8.8/32","any","ntp","application-default","Allow","strict","","any"
"27","STD_INSIDE_TO_VOIP_586","Shared","app-team","universal","inside","IOT-GATEWAY-01","any","any","voip","FILE-SRV-01","any","ssl","application-default","Allow","none","","any"
"28","DNS_OUTBOUND_28","Shared","none","universal","mgmt","APP-SRV-01","any","any","outside","8.8.8.8/32","any","dns","application-default","Allow","strict","","any"
"29","STD_VOIP_TO_INSIDE_2375","Shared","none","universal","voip","WORKSTATIONS-FLOOR2","any","any","inside","WORKSTATIONS-FLOOR1","any","ntp","application-default","Allow","strict","","any"
"30","OPEN_OUTSIDE_TO_MGMT-HOSTS-G_130","Shared","none","universal","outside","any","any","any","server","MGMT-HOSTS-G","any","ms-rdp","any","Allow","none","","any"
